k,eps_0,M_tar
3.20407e-05,0.0016763,1692700.0
3.22361e-05,0.0016899,1698400.0
3.24315e-05,0.0017035,1704100.0
3.26269e-05,0.001717,1709700.0
3.28222e-05,0.0017305,1715400.0
3.30176e-05,0.001744,1721000.0
3.3213e-05,0.0017574,1726500.0
3.34083e-05,0.0017708,1732100.0
3.36037e-05,0.0017841,1737600.0
3.37991e-05,0.0017974,1743200.0
3.39944e-05,0.0018106,1748600.0
3.41898e-05,0.0018238,1754100.0
3.43852e-05,0.0018369,1759600.0
3.45806e-05,0.00185,1765000.0
3.47759e-05,0.001863,1770400.0
3.49713e-05,0.001876,1775800.0
3.51667e-05,0.001889,1781100.0
3.5362e-05,0.0019019,1786500.0
3.55574e-05,0.0019148,1791800.0
3.57528e-05,0.0019276,1797100.0
3.59481e-05,0.0019404,1802400.0
3.61435e-05,0.0019531,1807600.0
3.63389e-05,0.0019658,1812900.0
3.65343e-05,0.0019784,1818100.0
3.67296e-05,0.001991,1823300.0
3.6925e-05,0.0020036,1828500.0
3.71204e-05,0.0020161,1833600.0
3.73157e-05,0.0020286,1838800.0
3.75111e-05,0.002041,1843900.0
3.77065e-05,0.0020534,1849000.0
3.79019e-05,0.0020657,1854100.0
3.80972e-05,0.002078,1859200.0
3.82926e-05,0.0020903,1864300.0
3.8488e-05,0.0021025,1869300.0
3.86833e-05,0.0021147,1874300.0
3.88787e-05,0.0021268,1879300.0
3.90741e-05,0.0021389,1884300.0
